,External_ID,Contents
0,rec_06_audio_2.wav,<>
1,rec_06_audio_6.wav,<>
2,rec_06_audio_1.wav,<>
3,rec_06_audio_3.wav,মলকয়ে রেখাবলায় কোষবিকপিলভুক ববমলোকহেয়েছিলেবাস্তন্দ দলে যের পত্যযতে পাওয়ালবচলেএজেয় েকক়কতেএরা দিজো গহারভরমায় এরা হিযে জান আকরে এতারা কেলার সুবিদ ম্যারাদূজ নিযোদহার বর বাযয়।
4,rec_06_audio_0.wav,ত আসত্ত হয়ে স্চুটি দৌ ওভেরসে ল আলৌহনদুঃঞনে বা বয়লেপ্রথূে পাকিবারে আখে র ফ ঠাকরে একটি পর গললন দেক হামভরকষম ুৎ্ত লম কছৈরি কষ্ক করবওপারে রাখা আর প্রতাদের বৃি ধননান হবরাসে এএ সচ্চির মানায়নে গজালা আনহত মা জাম নানামা শাসের রহাম্ম উখ্যাম্পাস ছা।
5,rec_06_audio_4.wav,এযা তেমর বাদি িটতোমা রাথো এডা অাহিনী জেরা পুফেডা য়তম রাপুরনারীডা তমার নোযাবীখালে বাঁধনিবী পুরাপেটের ভা ব ইকেব্ন এ ভেড়ি ত হারে কুরা বাইনবুলতম  অনুযএসে।
6,rec_06_audio_5.wav,বা এ বাহির উপাজ জানম পায় পরজান াসে েনেহছে িনেরমিকেদে নাইকরতেমলেতি মিরত্ম আদায়র হরে আসদাইগরির সূরণণী থেকে হেয়ে যেনফালনযর্ত থোমা হল বেদাগ্তম া ফলের পম়ে রাকা।
7,rec_06_audio_14.wav,া কত এয়ার ফলে এরা একজন মলররে লেক্লাব পচিশা জাত্তে হয়ারে ছিলটা হয়েছে আন্দাউনলাভ করে আমে এগললাদ আগী রদ্দে জলের মেয়ে পরবাটা পাটছাইিতেন হা়একলাব কণ্বাজা তীল হযেেদ্বমাডিয়াল হরের উঠকে আটরায়ইসি।
8,rec_06_audio_11.wav,বাবিহত এগই পে মিরডেলবমনাসমোষ্টার কমানে র সাবযেক্টা ফর্ছেত ইঞ্জিনিয়া ছাকরৃ ভাইসানে জিনি ্ারিংেরদেতময়ামিট ফৈবরেতেন জিরিয় ন কললে তে করণ সাখে থাকে নাহয় লেবেকের লেছেবিসি।
9,rec_06_audio_13.wav,পিশেষ ঠ সফল কর্জেব ঘরতি লাগানিয়েছেযাকে অভিস্থৃতি সকরাজ জনকাটি সময়দনদ্র ও়েলদা মিলঐবাস্ল হওয়াহযমবেশেষ কিটু দিয়ে অইয়নার পূনালাদা বিযযিদ্যালয়তা িনোতল় চায়মত সুমৈিদ্যালয়ি পর ফসলাআনগয়াজীবেঝিদ অংলাকে লেগলেখংলাগে।
10,rec_06_audio_12.wav,িতেস্তুয়ালে ভুমিরি সে হেসি বদেলো ঐয়ে ফেলেন আমলেবং লো় ওলেববনে এক গুররত হলেযই বরির পারীণ আবারা মা রয়েখে প্রশাচরি উতহেকেছেে  গ্রলাফ্ত হয়ে বেশ্বেষ করেেেছায়গে জ আগাও তিনি যামার আর কন্ঠলাখটে হওবহ সাইগারে দােন।
11,rec_06_audio_21.wav,পরনী হয়সাভ নার্লাভ কালে আইস্থেখেলাধব বছকনগরর উত করে দুকরে জামরমান হ্যারেযন দিলল্যায ় মা আদীলন নাতজেনাধার অধিঘর তাজেমল বাতেজি জানি ক্াযহ কেখ্েসরেস্কের ফুটুই হয় জর অভিজায় ভিজিয়ালামহয়এ শুনসৈরিফের বেপ আহিজলাপে ল।
